"Name","Location","Function Signature","Function Size"
"FUN_08021e70","08021e70","undefined FUN_08021e70()","36"
"FUN_08021ec8","08021ec8","undefined FUN_08021ec8()","48"
"FUN_08021f34","08021f34","undefined FUN_08021f34()","188"
"FUN_08022004","08022004","undefined FUN_08022004()","142"
"FUN_080220a4","080220a4","undefined FUN_080220a4()","262"
"FUN_080221e0","080221e0","undefined FUN_080221e0()","150"
"FUN_080222c4","080222c4","undefined FUN_080222c4()","246"
"FUN_080223d8","080223d8","undefined FUN_080223d8()","118"
"FUN_08022464","08022464","undefined FUN_08022464()","792"
"FUN_080227ec","080227ec","undefined FUN_080227ec()","102"
"FUN_08022864","08022864","undefined FUN_08022864()","238"
"FUN_0802296c","0802296c","undefined FUN_0802296c()","118"
"FUN_080229f4","080229f4","undefined FUN_080229f4()","154"
"FUN_08022adc","08022adc","undefined FUN_08022adc()","302"
"FUN_08022c2c","08022c2c","undefined FUN_08022c2c()","92"
"FUN_08022cac","08022cac","undefined FUN_08022cac()","222"
"FUN_08022db8","08022db8","undefined FUN_08022db8()","116"
"FUN_08022e38","08022e38","undefined FUN_08022e38()","238"
"FUN_08022f40","08022f40","undefined FUN_08022f40()","76"
"FUN_08022fa8","08022fa8","undefined FUN_08022fa8()","84"
"FUN_08023064","08023064","undefined FUN_08023064()","340"
"FUN_08023218","08023218","undefined FUN_08023218()","960"
"FUN_080236bc","080236bc","undefined FUN_080236bc()","96"
"FUN_08023728","08023728","undefined FUN_08023728()","238"
"FUN_08023830","08023830","undefined FUN_08023830()","84"
"FUN_080238d0","080238d0","undefined FUN_080238d0()","74"
"FUN_0802392c","0802392c","undefined FUN_0802392c()","68"
"FUN_08023b54","08023b54","undefined FUN_08023b54()","698"
"FUN_08023ea8","08023ea8","undefined FUN_08023ea8()","588"
"FUN_08024170","08024170","undefined FUN_08024170()","132"
"FUN_08024204","08024204","undefined FUN_08024204()","84"
"FUN_0802426c","0802426c","undefined FUN_0802426c()","68"
"FUN_080242bc","080242bc","undefined FUN_080242bc()","56"
"FUN_08024304","08024304","undefined FUN_08024304()","76"
"FUN_080243a4","080243a4","undefined FUN_080243a4()","42"
"FUN_0802440c","0802440c","undefined FUN_0802440c()","82"
"FUN_0802446c","0802446c","undefined FUN_0802446c()","54"
"FUN_08024540","08024540","undefined FUN_08024540()","48"
"FUN_08024570","08024570","undefined FUN_08024570()","48"
"FUN_080245a0","080245a0","undefined FUN_080245a0()","54"
"FUN_0802460c","0802460c","undefined FUN_0802460c()","54"
"FUN_0802464c","0802464c","undefined FUN_0802464c()","66"
"FUN_08024698","08024698","undefined FUN_08024698()","48"
"FUN_080246c8","080246c8","undefined FUN_080246c8()","24"
"FUN_080246e0","080246e0","undefined FUN_080246e0()","36"
"FUN_08024738","08024738","undefined FUN_08024738()","78"
"FUN_08024794","08024794","undefined FUN_08024794()","38"
"FUN_080247c4","080247c4","undefined FUN_080247c4()","92"
"FUN_0802482c","0802482c","undefined FUN_0802482c()","82"
"FUN_08024894","08024894","undefined FUN_08024894()","76"
"FUN_080248f0","080248f0","undefined FUN_080248f0()","68"
"FUN_08024940","08024940","undefined FUN_08024940()","72"
"FUN_08024994","08024994","undefined FUN_08024994()","68"
"FUN_080249e4","080249e4","undefined FUN_080249e4()","68"
"FUN_08024a34","08024a34","undefined FUN_08024a34()","104"
"FUN_08024aac","08024aac","undefined FUN_08024aac()","88"
"FUN_08024b1c","08024b1c","undefined FUN_08024b1c()","80"
"FUN_08024bd8","08024bd8","undefined FUN_08024bd8()","62"
"FUN_08024c90","08024c90","undefined FUN_08024c90()","110"
"FUN_08024d0c","08024d0c","undefined FUN_08024d0c()","176"
"FUN_08024ddc","08024ddc","undefined FUN_08024ddc()","452"
"FUN_08024fcc","08024fcc","undefined FUN_08024fcc()","64"
"FUN_08025064","08025064","undefined FUN_08025064()","152"
"FUN_08025120","08025120","undefined FUN_08025120()","78"
"FUN_0802517c","0802517c","undefined FUN_0802517c()","226"
"FUN_0802528c","0802528c","undefined FUN_0802528c()","52"
"FUN_080252d0","080252d0","undefined FUN_080252d0()","320"
"FUN_08025440","08025440","undefined FUN_08025440()","438"
